property_name,address,city,state,zip_code,apn,property_type,retail_subtype,total_sqft,available_sqft,lot_size_sqft,status,off_market_signal,source_url,source_name,contact_name,contact_phone,contact_email,asking_price,lease_rate,notes,confidence_score,completeness_score,captured_at
,10418 S PRAIRIE AVE,,CA,,4032-009-030,Retail,Shopping center / strip retail,3000.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=3000 sqft; YEAR_BUILT=2006; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$986,009; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433199Z
,"7135 REMMET AVE, NO 37",,CA,,2111-026-009,Retail,"Store, retail",3696.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=3696 sqft; YEAR_BUILT=1980; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$1,300,013; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433207Z
,26333 VERMONT AVE,,CA,,7411-023-019,Retail,"Retail, other",2342.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1900 (Retail, other); SIZE=2342 sqft; YEAR_BUILT=1959; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$2,145,021; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433214Z
,6029 N FIGUEROA ST,,CA,,5492-014-017,Retail,"Store, retail",8000.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=8000 sqft; YEAR_BUILT=1966; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$6,700,067; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433221Z
,3301 BEVERLY BLVD,,CA,,5501-005-029,Retail,"Store, retail",7211.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=7211 sqft; YEAR_BUILT=1928; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$6,250,062; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433227Z
,812 W LAS TUNAS DR,,CA,,5346-021-025,Retail,Shopping center / strip retail,2575.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=2575 sqft; YEAR_BUILT=1976; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$1,650,016; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433233Z
,409 N FAIR OAKS AVE,,CA,,5726-017-043,Retail,"Store, retail",10880.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=10880 sqft; YEAR_BUILT=1952; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$4,350,043; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433239Z
,14311 RAMONA BLVD,,CA,,8544-021-011,Retail,"Retail, other",2850.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1900 (Retail, other); SIZE=2850 sqft; YEAR_BUILT=1947; LAST_SALE=2022-08-19; LAST_SALE_PRICE=$600,006; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433244Z
,5501 S NORMANDIE AVE,,CA,,5003-024-032,Retail,"Store, retail",2340.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=2340 sqft; YEAR_BUILT=1917; LAST_SALE=2022-08-22; LAST_SALE_PRICE=$875,008; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433253Z
,"1015 CROCKER ST, NO   Q24",,CA,,5132-030-041,Retail,Use code 110C,1999.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=110C (Use code 110C); SIZE=1999 sqft; YEAR_BUILT=1915; LAST_SALE=2022-08-22; LAST_SALE_PRICE=$1,700,017; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433259Z
,1832 W BURBANK BLVD,,CA,,2448-012-002,Retail,Restaurant,3120.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1800 (Restaurant); SIZE=3120 sqft; YEAR_BUILT=1962; LAST_SALE=2022-08-23; LAST_SALE_PRICE=$1,100,011; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433265Z
,1617 S PACIFIC COAST HWY,,CA,,7511-007-044,Retail,Store with residential,16975.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1200 (Store with residential); SIZE=16975 sqft; YEAR_BUILT=1961; LAST_SALE=2022-08-23; LAST_SALE_PRICE=$10,915,109; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433271Z
,11841 PARAMOUNT BLVD,,CA,,6247-019-012,Retail,Use code 1910,1982.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1910 (Use code 1910); SIZE=1982 sqft; YEAR_BUILT=1958; LAST_SALE=2022-08-24; LAST_SALE_PRICE=$370,503; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433278Z
,9808 S CENTRAL AVE,,CA,,6049-020-001,Retail,"Store, retail",400.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=400 sqft; YEAR_BUILT=1947; LAST_SALE=2022-08-24; LAST_SALE_PRICE=$290,002; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433284Z
,7772 GARVEY AVE,,CA,,5285-035-046,Retail,"Store, retail",5000.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=5000 sqft; YEAR_BUILT=1937; LAST_SALE=2022-08-24; LAST_SALE_PRICE=$2,500,025; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433327Z
,2620 W BURBANK BLVD,,CA,,2478-003-001,Retail,Shopping center / strip retail,2029.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=2029 sqft; YEAR_BUILT=1945; LAST_SALE=2022-08-24; LAST_SALE_PRICE=$1,350,013; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433340Z
,6512 BRIGHT AVE,,CA,,8139-003-022,Retail,"Store with residential, mixed",3871.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=3871 sqft; YEAR_BUILT=1970; LAST_SALE=2022-08-24; LAST_SALE_PRICE=$1,050,010; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433349Z
,14225 WHITTIER BLVD,,CA,,8147-015-001,Retail,"Store, retail",5600.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=5600 sqft; YEAR_BUILT=1976; LAST_SALE=2022-08-24; LAST_SALE_PRICE=$5,800,058; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433356Z
,11655 RIVERSIDE DR,,CA,,2354-010-036,Retail,"Store, retail",2259.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=2259 sqft; YEAR_BUILT=1980; LAST_SALE=2022-08-25; LAST_SALE_PRICE=$1,600,016; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433363Z
,5704 PRIORY ST,,CA,,6227-014-001,Retail,"Store with residential, mixed",3306.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=3306 sqft; YEAR_BUILT=0000; LAST_SALE=2022-08-25; LAST_SALE_PRICE=$905,009; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433369Z
,2014 PACIFIC COAST HWY,,CA,,7553-007-074,Retail,"Store, retail",912.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=912 sqft; YEAR_BUILT=1959; LAST_SALE=2022-08-25; LAST_SALE_PRICE=$3,000,030; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433375Z
,521 E 4TH ST,,CA,,7281-007-026,Retail,Shopping center / strip retail,11088.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=11088 sqft; YEAR_BUILT=1923; LAST_SALE=2022-08-26; LAST_SALE_PRICE=$2,600,026; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433388Z
,14032 S VERMONT AVE,,CA,,6119-014-024,Retail,Use code 1832,19133.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1832 (Use code 1832); SIZE=19133 sqft; YEAR_BUILT=1984; LAST_SALE=2022-08-26; LAST_SALE_PRICE=$10,500,105; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433395Z
,11132 VENTURA BLVD,,CA,,2378-009-007,Retail,Shopping center / strip retail,16103.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=16103 sqft; YEAR_BUILT=1989; LAST_SALE=2022-08-26; LAST_SALE_PRICE=$10,100,101; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433415Z
,277 S LAKE ST,,CA,,2451-016-027,Retail,Use code 170C,7080.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=170C (Use code 170C); SIZE=7080 sqft; YEAR_BUILT=1960; LAST_SALE=2022-08-26; LAST_SALE_PRICE=$6,000,060; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433427Z
,9846 WHITE OAK AVE,,CA,,2755-010-049,Retail,Shopping center / strip retail,8700.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=8700 sqft; YEAR_BUILT=1992; LAST_SALE=2022-08-26; LAST_SALE_PRICE=$2,455,024; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433433Z
,1900 E 1ST ST,,CA,,5174-016-024,Retail,"Store with residential, mixed",16.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=16 sqft; YEAR_BUILT=1882; LAST_SALE=2022-08-26; LAST_SALE_PRICE=$800,008; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433443Z
,2522 ARTESIA BLVD,,CA,,4157-001-001,Retail,Shopping center / strip retail,3760.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=3760 sqft; YEAR_BUILT=1979; LAST_SALE=2022-08-26; LAST_SALE_PRICE=$1,887,018; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433451Z
,5875 GREEN VALLEY CIR,,CA,,4134-005-023,Retail,Shopping center / strip retail,13302.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=13302 sqft; YEAR_BUILT=1982; LAST_SALE=2022-08-29; LAST_SALE_PRICE=$8,250,082; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433457Z
,1432 SAN FERNANDO RD,,CA,,2521-003-007,Retail,"Store with residential, mixed",3269.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=3269 sqft; YEAR_BUILT=1952; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$850,008; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433463Z
,8627 RESEDA BLVD,,CA,,2785-005-020,Retail,"Store, retail",4342.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=4342 sqft; YEAR_BUILT=1954; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$1,410,014; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433469Z
,16115 VANOWEN ST,,CA,,2224-025-027,Retail,Shopping center / strip retail,8400.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=8400 sqft; YEAR_BUILT=1972; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$3,950,039; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433475Z
,816 N LA CIENEGA BLVD,,CA,,5529-006-059,Retail,"Store, retail",3927.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=3927 sqft; YEAR_BUILT=1949; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$4,800,048; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433481Z
,6170 SANTA MONICA BLVD,,CA,,5534-021-009,Retail,Store with residential,1944.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1200 (Store with residential); SIZE=1944 sqft; YEAR_BUILT=1947; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$1,450,014; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433487Z
,1607 VICTORY BLVD,,CA,,5626-017-035,Retail,"Store with residential, mixed",3060.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=3060 sqft; YEAR_BUILT=1959; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$3,995,039; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433495Z
,3265 E 7TH ST,,CA,,7258-021-009,Retail,"Store with residential, mixed",2450.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=2450 sqft; YEAR_BUILT=1963; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$740,007; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433501Z
,3331 TYLER AVE,,CA,,8579-013-019,Retail,"Store with residential, mixed",3580.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=3580 sqft; YEAR_BUILT=1956; LAST_SALE=2022-08-30; LAST_SALE_PRICE=$1,030,010; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433507Z
,631 N AZUSA AVE,,CA,,8611-004-031,Retail,Store with residential,3329.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1200 (Store with residential); SIZE=3329 sqft; YEAR_BUILT=1895; LAST_SALE=2022-08-31; LAST_SALE_PRICE=$1,080,010; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433513Z
,3356 SANTA FE AVE,,CA,,7312-001-007,Retail,"Store with residential, mixed",2414.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=2414 sqft; YEAR_BUILT=1928; LAST_SALE=2022-08-31; LAST_SALE_PRICE=$520,005; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433518Z
,425 W MAIN ST,,CA,,5338-034-014,Retail,Use code 1910,3656.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1910 (Use code 1910); SIZE=3656 sqft; YEAR_BUILT=1989; LAST_SALE=2022-08-31; LAST_SALE_PRICE=$1,700,017; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433527Z
